geonameid	name	latitude	longitude	cc	timezone
3430863	Mar del Plata	-38.000	-57.556	AR	America/Argentina/Buenos_Aires
3430988	Lujan	-34.566	-59.115	AR	America/Argentina/Buenos_Aires
3431057	Los Polvorines	-34.503	-58.706	AR	America/Argentina/Buenos_Aires
3432043	La Plata	-34.921	-57.955	AR	America/Argentina/Buenos_Aires
3432079	La Paz	-30.742	-59.645	AR	America/Argentina/Cordoba
3433349	Jardin America	-27.043	-55.227	AR	America/Argentina/Cordoba
3433522	Hurlingham	-34.590	-58.629	AR	America/Argentina/Buenos_Aires
3433658	Gualeguaychu	-33.008	-58.518	AR	America/Argentina/Cordoba
3433663	Gualeguay	-33.141	-59.313	AR	America/Argentina/Cordoba
3433715	Goya	-29.140	-59.263	AR	America/Argentina/Cordoba
3433753	Gobernador Virasora	-28.050	-56.033	AR	America/Argentina/Cordoba
3433787	General Pacheco	-34.453	-58.643	AR	America/Argentina/Buenos_Aires
3433803	General Jose de San Martin	-26.536	-59.341	AR	America/Argentina/Cordoba
3433836	Garupa	-27.483	-55.829	AR	America/Argentina/Cordoba
3433899	Formosa	-26.185	-58.173	AR	America/Argentina/Cordoba
3433901	Fontana	-27.420	-59.037	AR	America/Argentina/Cordoba
3433956	Federal	-30.956	-58.780	AR	America/Argentina/Cordoba
3434095	Esquina	-30.015	-59.529	AR	America/Argentina/Cordoba
3434291	El Soberbio	-27.297	-54.198	AR	America/Argentina/Cordoba
3434509	El Palomar	-34.618	-58.602	AR	America/Argentina/Buenos_Aires
3435010	Don Torcuato	-34.495	-58.627	AR	America/Argentina/Buenos_Aires
3435038	Dolores	-36.315	-57.675	AR	America/Argentina/Buenos_Aires
3435103	Curuzu Cuatia	-29.791	-58.050	AR	America/Argentina/Cordoba
3435217	Corrientes	-27.468	-58.834	AR	America/Argentina/Cordoba
3435261	Concordia	-31.392	-58.017	AR	America/Argentina/Cordoba
3435264	Concepcion del Uruguay	-32.485	-58.232	AR	America/Argentina/Cordoba
3435356	Colegiales	-34.574	-58.449	AR	America/Argentina/Buenos_Aires
3435486	Chajari	-30.755	-57.982	AR	America/Argentina/Cordoba
3435607	Castelar	-34.651	-58.641	AR	America/Argentina/Buenos_Aires
3435810	Campana	-34.163	-58.959	AR	America/Argentina/Buenos_Aires
3435910	Buenos Aires	-34.613	-58.377	AR	America/Argentina/Buenos_Aires
3436003	Boedo	-34.633	-58.417	AR	America/Argentina/Buenos_Aires
3436043	Berazategui	-34.765	-58.213	AR	America/Argentina/Buenos_Aires
3436061	Bella Vista	-34.565	-58.690	AR	America/Argentina/Buenos_Aires
3436077	Belgrano	-34.563	-58.458	AR	America/Argentina/Buenos_Aires
3436124	Barranqueras	-27.481	-58.939	AR	America/Argentina/Cordoba
3436134	Barracas	-34.650	-58.383	AR	America/Argentina/Buenos_Aires
3436177	Balcarce	-37.846	-58.255	AR	America/Argentina/Buenos_Aires
3436199	Azul	-36.778	-59.858	AR	America/Argentina/Buenos_Aires
3436230	Avellaneda	-29.118	-59.658	AR	America/Argentina/Cordoba
3436287	Aristobulo del Valle	-27.096	-54.893	AR	America/Argentina/Cordoba
3832132	Zapala	-38.901	-70.067	AR	America/Argentina/Salta
3832260	Yerba Buena	-26.813	-65.295	AR	America/Argentina/Tucuman
3832647	Villa Regina	-39.096	-67.084	AR	America/Argentina/Salta
3832653	Villa Paula de Sarmiento	-31.493	-68.538	AR	America/Argentina/San_Juan
3832662	Villa Nueva	-32.433	-63.248	AR	America/Argentina/Cordoba
